Id,Intensity,Longitude,Latitude
110,62,-73.109794006,7.109673768
111,62,-73.114443557,7.097551824
112,62,-73.132794811,7.138910489
113,61,-73.127306000,7.120172350
114,61,-73.126142906,7.137215128
115,61,-73.122507450,7.100749250
116,61,-73.148278300,7.083809550
117,61,-73.119824252,7.091308897
118,61,-73.1283695,7.1208442
119,61,-73.121829255,7.116011196
120,61,-73.119879700,7.116365550
121,60,-73.129460711,7.100329223
122,60,-73.1211951,7.1188628
123,60,-73.137348800,7.106944800
124,60,-73.106258238,7.091470696
125,59,-73.120700000,7.117827600
126,59,-73.123476644,7.103740650
127,59,-73.1094535,7.1074206
128,59,-73.1128228,7.1266032
129,58,-73.106125073,7.104085280
130,58,-73.115110297,7.114474442
131,57,-73.110139407,7.104218246
132,57,-73.113573573,7.103576498
133,57,-73.115773603,7.107837062
134,57,-73.113566994,7.102155216
135,56,-73.12483,7.1211401
136,56,-73.1201008,7.1102656
137,56,-73.120318751,7.134638049
138,55,-73.114850889,7.113514330
139,55,-73.110196500,7.111420950
140,54,-73.118298800,7.109544350
141,54,-73.1254096,7.1378094
142,54,-73.116687200,7.105095900
143,54,-73.0992578,7.133096
144,54,-73.1194597,7.1232076
145,53,-73.115185005,7.115664364
146,53,-73.111035100,7.116593650
147,53,-73.116813250,7.122196600
148,53,-73.128941750,7.113381300
149,52,-73.117584250,7.123981900
150,52,-73.142101864,7.101950086
151,52,-73.1348751,7.1075386
152,52,-73.122253499,7.082329502
153,51,-73.131066650,7.116072850
154,51,-73.123297610,7.081846888
155,51,-73.1092759,7.1133613
156,51,-73.1098415,7.1191139
157,51,-73.115868504,7.127442039
158,50,-73.114042,7.0991349
159,50,-73.1296162,7.1369913
160,50,-73.116278737,7.084706406
161,49,-73.115973616,7.119840620
162,49,-73.124239700,7.114849250
163,48,-73.117743456,7.109060977
164,48,-73.147741350,7.083907500
165,48,-73.118239650,7.104412650
166,48,-73.130377450,7.132075400
167,47,-73.113533050,7.085344300
168,47,-73.123032650,7.115312350
169,47,-73.1073551,7.1122045
170,47,-73.1175044,7.1032869
